year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country_encoded
2020,7.711,0.823,59.5,0.769,0.188,0.784,45
2016,10.819,0.929,71.6,0.866,-0.056,0.497,12
2017,10.189,0.77,69.6,0.716,-0.104,0.892,35
2012,11.025,0.889,65.2,0.934,-0.074,0.557,76
2020,8.117,0.767,56.3,0.75,0.056,0.81,158
2016,9.691,0.895,65.2,0.873,-0.08,0.737,40
2021,10.35,0.896,69.652,0.872,-0.061375000000000006,0.856,113
2016,7.721,0.675,52.2,0.726,-0.056,0.803,55
2005,9.788,0.903,66.2,0.814,-0.1165,0.764,94
2021,10.421,0.879,72.6,0.892,-0.17790909090909093,0.887,118
2009,8.632,0.775,60.4,0.874,0.004,0.805,116
2020,10.53,0.964,71.3,0.906,-0.127,0.884,37
2011,10.754,0.938,70.64,0.936,0.101,0.32,46
2007,9.459,0.82,60.64,0.494,-0.241,0.968,149
2006,8.686,0.834,59.0,0.77,-0.044,0.794,16
2012,6.832,0.77,50.78,0.557,-0.035,0.807,33
2011,9.608,0.653,55.48,0.772,-0.211,0.851,48
2014,10.486,0.941,72.08,0.904,0.404,0.67,91
2012,10.664,0.935,71.46,0.889,0.371,0.425,151
2019,9.627,0.827,62.3,0.762,-0.073,0.686,83
2021,9.557,0.847,68.001,0.837,-0.071,0.841,30
2017,7.578,0.79,55.9,0.595,-0.147,0.8228333333333334,157
2012,10.026,0.739,64.88,0.471,-0.216,0.702,146
2007,10.689,0.892,63.86,0.622,0.005,0.5446666666666666,123
2012,10.638,0.869,72.88,0.57,0.113,0.908,68
2012,9.8,0.713,65.36,0.621,-0.006,0.856,80
2021,9.802,0.853,66.102,0.86,-0.03527272727272727,0.714,40
2021,11.647,0.908,72.6,0.907,0.04436363636363637,0.386,85
2012,10.218,0.919,64.9,0.503,-0.273,0.957,84
2019,8.13,0.688,60.0,0.759,-0.019,0.796,124
2015,9.867,0.761,67.4,0.719,-0.152,0.708,94
2012,7.603,0.542,50.44,0.646,0.001,0.794,55
2018,10.605,0.91,74.4,0.722,-0.075,0.777,132
2015,9.815,0.924,65.2,0.623,-0.091,0.669,11
2018,9.462,0.833,67.2,0.859,0.106,0.856,133
2021,10.284,0.832,67.355,0.845,-0.1511818181818182,0.938,120
2011,9.289,0.878,65.0,0.76,-0.143,0.6945,72
2019,10.258,0.936,70.8,0.739,-0.137,0.932,35
2007,10.543,0.808,70.9,0.575,-0.19,0.845,53
2017,9.713,0.884,67.8,0.685,-0.077,0.851,125
2006,10.389,0.927,71.12,0.817,0.1275,0.905,67
2009,9.838,0.755,64.04,0.456,-0.227,0.853,146
2016,10.858,0.906,71.6,0.871,0.148,0.446,51
2007,10.739,0.9372857142857143,71.66,0.93,0.249,0.406,25
2011,9.164,0.855,66.22,0.796,-0.064,0.909,70
2021,10.576,0.82,73.898,0.795,-0.281,0.626,108
2021,8.189,0.71,53.515,0.731,-0.015166666666666667,0.848,24
2016,10.891,0.926,72.4,0.889,0.08,0.524,7
2021,9.584,0.71,66.3,0.608,0.167,0.714,64
2019,8.467,0.673,64.8,0.902,-0.051,0.656,10
2009,10.331,0.916,71.38,0.803,0.464,0.67625,91
2008,8.904,0.92,59.28,0.484,0.068,0.962,96
2010,9.915,0.689,65.2,0.566,-0.085,0.974,120
2013,10.476,0.929,73.26,0.759,-0.101,0.916,132
2012,10.777,0.979,72.76,0.905,0.241,0.759,61
2006,9.088,0.895,63.62,0.691,0.066,0.841,114
2021,9.673,0.811,69.593,0.904,-0.15924999999999997,0.755,29
2015,10.149,0.924,63.1,0.685,-0.171,0.913,121
2020,9.18911111111111,0.792,63.813,0.88,0.12188888888888888,0.91,75
2012,9.453,0.907,52.42,0.59,-0.163,0.838,130
2011,8.585,0.898,66.66,0.818,0.105,0.742,156
2012,7.988,0.719,55.34,0.534,-0.121,0.651,31
2012,10.023,0.855,69.18,0.734,0.195,0.782,28
2014,10.592,0.942,72.48,0.932,0.348,0.273,104
2014,9.557,0.904,65.86,0.57,-0.199,0.827,155
2013,9.113,0.721,63.813,0.568,0.115,0.935,75
2011,9.152,0.751,59.36,0.347,-0.07,0.78,65
2021,9.24,0.746,60.583,0.63,-0.052000000000000005,0.875,65
2007,9.887,0.815,68.72,0.662,0.244,0.723,28
2009,10.74,0.903,71.76,0.864,0.221,0.292,136
2007,9.142,0.821,65.8,0.529,-0.009,0.875,1
2014,8.219,0.765,57.74,0.819,0.172,0.849,74
2017,8.021,0.436,53.9,0.727,-0.065,0.767,14
2011,6.748,0.422,50.68,0.49,-0.062,0.677,22
2011,9.518,0.784,64.661,0.607,-0.087,0.865,109
2015,9.649,0.816,67.0,0.546,-0.062,0.859,125
2018,8.344,0.707,60.1,0.821,0.291,0.844,74
2008,6.719,0.291,49.02,0.26,-0.019,0.86,22
2005,10.529,0.928,73.2,0.868,-0.14855555555555555,0.699,71
2011,9.812,0.91,62.88,0.656,-0.168,0.672,11
2012,7.476,0.673,45.74,0.563,-0.034,0.884,27
2005,10.739,0.951,71.2,0.964,0.15036363636363634,0.2599166666666667,136
2010,8.27,0.571,56.2,0.364,0.3,0.852,111
2017,8.7,0.838,67.2,0.922,0.01,0.673,105
2016,10.74,0.954,71.7,0.948,-0.027,0.25,46
2012,9.83,0.902,63.46,0.645,-0.217,0.657,11
2012,9.861,0.865,68.28,0.871,0.067,0.615,153
2011,10.248,0.909,66.96,0.735,-0.168,0.687,44
2012,9.647,0.89,65.02,0.849,-0.0789090909090909,0.623,19
2008,10.861,0.977,72.32,0.885,0.272,0.708,61
2008,10.922,0.953,68.38,0.878,0.255,0.668,152
2018,7.363,0.577,48.2,0.65,0.024,0.763,27
2011,10.059,0.876,68.5,0.829,0.009,0.84,113
2017,9.45,0.87,56.1,0.787,-0.129,0.865,130
2012,10.117,0.906,65.92,0.569,-0.136,0.93,60
2008,10.546,0.887,73.56,0.772,-0.135,0.816,71
2007,9.267,0.766,66.04,0.342,0.006,0.926,17
2016,10.69,0.885,73.4,0.787,-0.091,0.623,47
2008,8.366,0.807,54.96,0.886,0.416,0.637,78
2012,9.24,0.737,60.32,0.452,-0.138,0.88,42
2012,8.534,0.894,65.94,0.85,0.017,0.644,105
2018,10.66,0.954,73.2,0.949,0.12,0.207,104
2015,7.858,0.669,54.3,0.61,-0.139,0.829,157
2011,7.62,0.521,51.92,0.496,0.162,0.731,0
2018,10.941,0.939,72.3,0.92,0.161,0.371,103
2006,9.314,0.919,62.68,0.858,0.038,0.755,40
2013,7.725,0.484,52.56,0.578,0.061,0.823,0
2016,7.576,0.665,59.9,0.911,0.025,0.159,122
2018,7.651,0.74,58.5,0.74,0.039,0.799,45
2016,9.578,0.912,66.0,0.807,-0.1,0.781,19
2008,7.607,0.747,47.16,0.495,-0.012,0.918,90
2013,7.343,0.602,55.8,0.707,-0.008,0.75,45
2018,10.007,0.924,66.8,0.724,-0.176,0.952,20
2015,8.249,0.777,58.3,0.793,0.221,0.853,74
2017,8.876,0.8293076923076923,67.7,0.8872499999999999,-0.004333333333333332,0.7857272727272728,156
2017,7.058,0.582,53.0,0.684,-0.03,0.778,106
2018,9.456,0.845,68.1,0.83,-0.178,0.906,115
2017,9.169,0.913,67.1,0.861,-0.13,0.883,70
2011,7.292,0.782,44.32,0.77,0.005,0.855,126
2008,10.528,0.944,71.6,0.893,0.298,0.334,104
2019,8.387,0.759,62.0,0.957,0.013,0.828,23
2018,9.042,0.841,64.8,0.91,-0.01,0.765,54
2018,10.576,0.837,73.898,0.797,-0.281,0.614,108
2007,7.359,0.479,43.66,0.295,-0.011,0.874,27
2013,8.54,0.792,66.16,0.698,-0.027,0.868,58
2019,10.618,0.949,74.7,0.778,-0.049,0.73,132
2009,10.558,0.812,72.16,0.775,0.054,0.801,36
2010,9.184,0.54,64.8,0.558,-0.248,0.46,50
2021,8.031,0.626,57.349,0.548,-0.005400000000000004,0.781,31
2008,8.152,0.622,53.22,0.838,0.12,0.863,52
2010,8.436,0.863,65.5,0.792,0.018,0.802,105
2010,9.788,0.876,66.5,0.778,-0.048,0.693,94
2015,9.62,0.907,65.8,0.799,-0.016,0.771,19
2020,8.554,0.796,59.6,0.825,0.47,0.647,100
2015,10.347,0.866,71.8,0.8,-0.163,0.941,118
2017,8.898,0.641,65.6,0.814,-0.216,0.841,98
2005,10.659,0.968,71.4,0.935,0.25016666666666665,0.39,6
2020,9.497,0.71,69.3,0.754,0.007,0.891,1
2017,9.814,0.9,65.8,0.621,-0.122,0.654,11
2016,10.374,0.938,68.2,0.843,-0.149,0.639,44
2018,10.585,0.91,73.3,0.725,0.055,0.77,67
2019,9.095,0.845,62.0,0.91,-0.083,0.748,116
2013,10.883,0.95,71.82,0.922,0.168,0.679,7
2011,8.071,0.864,50.84,0.663,0.003,0.882,158
2009,6.898,0.771,48.64,0.88,-0.009,0.483,106
2018,10.759333333333334,0.896,69.44666666666667,0.741,0.013625,0.736,139
2007,7.666,0.828,42.86,0.456,-0.082,0.946,159
2021,10.775,0.954,72.0,0.949,-0.004222222222222221,0.186,46
2014,7.484,0.748,58.68,0.894,-0.023,0.078,122
2013,10.857,0.925,71.76,0.919,0.305,0.505,103
2011,9.442,0.904,65.92,0.811,-0.073,0.847,30
2018,9.803,0.873,67.2,0.905,0.259,0.907,142
2014,11.024,0.941,72.68,0.956,0.181,0.405,110
2006,7.376,0.711,54.04,0.5344444444444445,-0.039,0.8385555555555555,86
2013,7.334,0.673,57.06,0.48,-0.019,0.868,86
2015,9.613,0.766,65.145,0.66,-0.047,0.824,109
2012,8.114,0.78,51.58,0.788,0.008,0.806,158
2009,9.414,0.877,49.88,0.739,-0.154,0.904,130
2013,7.619,0.567,50.66,0.693,0.091,0.815,55
2013,9.512,0.901,66.36,0.841,-0.071,0.898,30
2018,10.811,0.94,73.6,0.916,0.146,0.405,6
2012,9.311,0.839,64.82,0.587,-0.172,0.69,2
2021,9.966,0.925,69.1,0.896,-0.0681,0.59,153
2019,9.08,0.764,66.4,0.877,-0.109,0.682,43
2021,10.556,0.947,70.807,0.858,-0.15655555555555553,0.868,37
2009,9.111,0.68,65.1,0.441,-0.214,0.882,5
2010,10.433,0.868,71.5,0.484,-0.303,0.954,53
2015,10.774,0.939,73.0,0.931,0.253,0.427,25
2016,10.248,0.9,66.8,0.554,-0.187,0.924,60
2010,8.225,0.739,54.1,0.891,0.074,0.875,52
2015,7.702,0.529,53.2,0.389,0.08,0.881,0
2010,10.461,0.882,72.4,0.561,0.15,0.902,67
2006,9.839,0.866,64.96,0.837,0.201,0.74,88
2015,10.07,0.827,69.6,0.769,0.041,0.812,28
2016,10.051,0.883,68.4,0.848,-0.192,0.851,4
2009,10.386,0.811,71.1,0.6,-0.096,0.787,131
2019,9.575,0.887,65.8,0.854,-0.214,0.457,8
2013,9.319,0.778,68.08,0.805,-0.158,0.755,29
2013,10.422,0.942,71.96,0.909,0.41,0.67625,91
2014,9.838,0.886,66.1,0.576,-0.055,0.955,20
2015,9.724,0.816,56.8,0.857,-0.116,0.86,18
2015,9.308,0.906,61.7,0.686,0.173,0.9,96
2015,8.48,0.766,62.054,0.556,-0.153,0.774,112
2005,10.814,0.947,70.4,0.901,0.28850000000000003,0.571,103
2015,11.174,0.953,72.0,0.892,0.233,0.409,66
2016,8.526,0.785,56.4,0.467,-0.175,0.842,92
2019,8.595,0.874,67.8,0.883,0.029,0.622,105
2017,8.156,0.744,54.8,0.823,0.14,0.74,158
2017,8.036,0.663,63.8,0.832,0.124,0.718,140
2018,7.66,0.74,55.7,0.729,0.079,0.856,148
2017,9.042,0.829,65.8,0.758,-0.172,0.778,43
2020,9.522,0.831,66.8,0.786,-0.053,0.729,19
2016,10.261,0.803,72.0,0.482,-0.26,0.898,53
2008,9.021,0.816,65.94,0.834,0.163,0.861,133
2013,10.299,0.901,67.48,0.754,-0.201,0.726,44
2009,9.049,0.83,66.02,0.799,0.306,0.69,133
2019,9.617,0.675,64.3,0.811,-0.26,0.647,50
2016,10.576,0.808,73.898,0.796,-0.281,0.67,108
2019,7.752,0.755,52.2,0.67,-0.038,0.846,90
2015,8.896,0.854,61.6,0.912,-0.051,0.755,116
2014,9.307,0.739,65.84,0.506,-0.218,0.92,5
2012,10.135,0.897,68.7,0.783,-0.002,0.796,113
2020,10.851,0.925,73.6,0.912,0.011,0.464,7
2014,7.632,0.638,50.88,0.684,0.006,0.705,55
2008,8.034,0.697,47.14,0.58,-0.069,0.945,24
2016,8.408,0.793,58.4,0.877,0.679,0.607,100
2008,9.351,0.88,65.46,0.795,-0.042,0.763,30
2010,7.765,0.779,59.2,0.519,0.092,0.911,102
2021,10.643,0.948,73.4,0.929,0.25549999999999995,0.242,104
2009,10.491,0.888,73.68,0.73,-0.21,0.74,71
2005,10.699,0.868,63.5,0.7636999999999999,-0.11033333333333334,0.505,123
2012,10.716,0.911,66.86,0.682,0.06933333333333334,0.438,9
2011,10.112,0.889,67.48,0.816,-0.174,0.755,4
2013,8.116,0.53,61.96,0.742,-0.016,0.743,10
2019,9.609,0.873,68.1,0.722,0.079,0.963,17
2006,9.044,0.682,64.8,0.52,-0.231,0.85,5
2016,7.547,0.719,57.5,0.744,0.038,0.703,45
2008,10.719,0.947,71.88,0.916,0.305,0.431,6
2018,8.087,0.768,63.5,0.77,0.122,0.742,102
2017,11.115,0.95,73.8,0.925,0.18,0.316,137
2011,8.831,0.817,61.34,0.782,-0.039,0.825,16
2010,9.758,0.918,62.3,0.7,-0.163,0.706,11
2016,8.282,0.706,58.9,0.749,0.298,0.828,74
2018,11.332,0.938,72.3,0.861,0.144,0.362,66
2020,8.472,0.739,65.3,0.777,-0.009,0.742,10
2006,10.842,0.936,70.76,0.941,0.302,0.49,7
2012,10.494,0.775,71.92,0.618,-0.06144444444444445,0.844,131
2020,10.838,0.936,72.8,0.951,0.091,0.203,136
2012,7.271,0.659,55.2,0.776,-0.044,0.7551428571428571,45
2015,7.764,0.79,56.0,0.759,0.149,0.906,141
2017,7.931,0.769,47.3,0.757,-0.145,0.797,81
2011,7.904,0.477,51.98,0.773,-0.142,0.849,14
2010,7.453,0.773,49.7,0.587,-0.036,0.767,21
2018,10.583,0.929,70.3,0.79,-0.292,0.851,37
2017,10.921,0.937,72.2,0.92,0.25,0.363,103
2020,10.58,0.887,75.2,0.806,-0.259,0.609,71
2009,9.464,0.734,64.349,0.552,-0.042,0.844,109
2010,9.569,0.687,63.4,0.501,-0.123,0.858,8
2012,10.493,0.903,72.52,0.681,0.153,0.862,67
2012,8.428,0.511,58.0,0.609,0.067,0.83,62
2018,8.389909090909091,0.819,62.054,0.655,-0.12133333333333332,0.814,112
2015,9.606,0.786,64.6,0.764,-0.198,0.616,8
2019,10.585,0.776,73.9,0.74,-0.008,0.865,36
2015,10.779,0.952,72.7,0.922,0.332,0.357,6
2006,7.817,0.798,44.26,0.721,-0.006,0.785,158
2019,10.576,0.803,73.898,0.793,-0.281,0.64,108
2006,11.228,0.919,63.96,0.769,-0.236,0.328,76
2017,10.736,0.937,72.1,0.813,0.291,0.419,151
2017,7.638,0.74,55.3,0.772,0.06,0.816,148
2017,7.324,0.508,54.3,0.717,-0.042,0.726,143
2008,9.489,0.633,63.14,0.601,0.052,0.868,64
2015,7.365,0.638,53.7,0.671,-0.061,0.903,82
2009,6.728,0.733,49.34,0.556,-0.022,0.824,33
2011,9.795,0.86,65.8,0.664,-0.228,0.948,20
2010,9.222,0.863,65.1,0.624,-0.135,0.732,145
2010,7.907,0.697,58.5,0.94,0.35,0.896,23
2013,7.002,0.696,50.96,0.825,-0.077,0.711,106
2020,10.62,0.848,69.7,0.945,0.132,0.59525,9
2012,9.222,0.614,65.46,0.568,-0.176,0.899,145
2006,7.407,0.694,48.46,0.449,0.401,0.854,57
2011,7.487,0.71,50.24,0.725,-0.105,0.707,21
2010,10.419,0.917,69.2,0.896,0.029,0.845,129
2021,9.782,0.784,59.269,0.824,-0.2068888888888889,0.801,18
2007,9.386,0.753,62.26,0.522,-0.207,0.871,8
2011,8.946,0.723,52.5,0.584,0.055,0.911,3
2007,9.426,0.788,48.64,0.69,-0.158,0.859,130
2021,9.448,0.893,65.9,0.876,0.03883333333333333,0.882,114
2005,10.851,0.972,69.6,0.971,0.1633,0.237,38
2014,10.183,0.845,66.24,0.494,-0.15,0.855,60
2013,10.184,0.896,68.9,0.811,0.018,0.814,113
2019,9.479,0.815,67.4,0.824,0.051,0.863,133
2008,7.37,0.451,50.8,0.718,0.168,0.882,0
2007,10.933,0.9199999999999999,68.22,0.872,0.197,0.633,152
2014,9.865,0.785,65.3,0.824,0.176,0.879,93
2007,9.825,0.879,66.32,0.67,-0.095,0.747,94
2015,11.033,0.947,72.9,0.948,0.257,0.299,110
2010,10.861,0.914,71.4,0.896,0.131,0.546,7
2010,9.217,0.812,66.3,0.757,-0.06,0.881,115
2011,7.423,0.567,36.86,0.413,0.243,0.682,57
2006,10.403,0.936,68.0,0.936,0.043,0.708,129
2017,6.945,0.555,56.9,0.848,0.025,0.735,87
2018,9.508222222222223,0.674,66.0,0.603,0.167,0.703,64
2007,9.903,0.792,63.32,0.459,-0.178,0.8,146
2015,9.377,0.914,65.1,0.806,-0.008,0.863,114
2015,7.945,0.844,63.2,0.847,0.022,0.742,140
2018,10.643,0.798,73.6,0.6,-0.089,0.797,131
2014,9.775,0.914,70.5,0.927,0.01,0.788,34
2019,11.043,0.917,68.2,0.836,0.144,0.707,152
2008,8.634,0.798,60.2,0.861,0.083,0.817,116
2012,11.523,0.838,67.34,0.924,0.162,0.184,119
2017,9.555,0.787,65.2,0.731,-0.225,0.653,8
2010,8.49,0.803,65.5,0.646,0.105,0.82,58
2014,9.672,0.933,66.38,0.9,0.553,0.92,142
2018,10.65,0.913,73.6,0.65,-0.021,0.888,68
2008,8.454,0.857,64.82,0.791,0.076,0.819,105
2016,9.333,0.709,66.3,0.611,-0.17,0.921,5
2014,10.575,0.9,74.52,0.838,-0.139,0.617,71
2008,9.488,0.86,61.16,0.487,-0.265,0.929,149
2016,7.047,0.683,52.5,0.702,-0.016,0.814,106
2011,9.637,0.916,64.76,0.834,-0.072,0.662,19
2018,9.846,0.905,66.1,0.644,-0.174,0.718,11
2008,8.501,0.67,53.94,0.593,-0.018,0.841,92
2010,7.965,0.721,54.7,0.529,0.005,0.741,31
2021,10.499,0.935,67.906,0.773,-0.24399999999999997,0.826,84
2013,9.248,0.935,61.1,0.748,0.136,0.928,96
2021,10.906,0.934,73.3,0.908,0.13633333333333333,0.481,7
2009,10.532,0.929,72.62,0.749,-0.127,0.798,132
2016,8.573,0.805,48.9,0.798,0.043,0.905,107
2019,7.106,0.677,54.0,0.831,0.026,0.729,106
2007,9.508,0.889,64.48,0.87,0.391,0.898,142
2007,8.608,0.801,60.0,0.852,-0.022,0.88,116
2017,7.697,0.491,52.8,0.427,-0.121,0.954,0
2007,10.891,0.954,69.92,0.932,0.24,0.206,38
2020,10.88375,0.813,76.82,0.705,0.22585714285714284,0.38,59
2017,7.627,0.785,53.4,0.614,-0.063,0.727,21
2014,10.101,0.795,62.28,0.799,0.004,0.805,73
2011,6.797,0.744,50.34,0.631,-0.025,0.856,33
2007,9.978,0.913,66.7,0.772,-0.047,0.925,117
2011,9.067,0.759,63.813,0.589,0.004,0.919,75
2014,10.945,0.8753999999999997,65.8,0.8204,-0.074,0.557,76
2009,10.638,0.964,71.02,0.816,0.341,0.559,151
2005,8.218,0.591,54.2,0.63,0.1262,0.844,111
2018,10.935,0.958,72.4,0.935,0.018,0.151,38
2018,11.112,0.851,67.1,0.944,0.054,0.3715,150
2005,10.663,0.979,69.9,0.922,0.3175454545454545,0.398,151
2016,8.869,0.655,65.3,0.817,-0.237,0.717,98
2012,10.082,0.851,65.12,0.564,-0.038,0.895,79
2010,9.244,0.769,60.0,0.486,-0.076,0.826,42
2014,8.538,0.621,58.6,0.809,-0.026,0.832,62
2021,9.577,0.882,66.601,0.804,-0.0789090909090909,0.756,19
2015,9.207,0.83,66.2,0.767,-0.046,0.6945,72
2006,8.145,0.707,55.72,0.774,-0.0014444444444444416,0.855,62
2019,10.511,0.934,68.8,0.887,-0.096,0.576,44
2011,7.797,0.741,59.4,0.525,-0.01,0.935,102
2019,8.653,0.797,67.4,0.846,0.063,0.815,58
2021,7.578,0.832,57.122,0.602,-0.13983333333333334,0.8,157
2019,7.708,0.489,61.7,0.869,0.064,0.168,122
2016,9.3,0.947,61.9,0.76,0.09,0.9,96
2014,7.34,0.655,57.48,0.529,-0.023,0.791,86
2009,7.952,0.629,54.36,0.508,-0.074,0.838,31
2015,7.645,0.579,51.1,0.666,0.007,0.762,55
2019,9.07,0.759,51.27,0.597,-0.191,0.724,135
2006,9.277,0.91,65.22,0.805,-0.015,0.808,30
2005,9.565,0.796,64.6,0.703,-0.0024545454545454575,0.945,80
2018,9.274,0.764,60.2,0.598,-0.068,0.887,65
2010,8.349,0.605,57.4,0.783,0.058,0.863,62
2018,7.386,0.666,59.1,0.551,0.003,0.889,86
2009,9.83,0.736,65.08,0.665,0.071,0.937,80
2018,9.06,0.779,50.353,0.71,-0.178,0.692,135
2016,10.593,0.811,73.0,0.591,0.026,0.862,131
2020,9.541571428571428,0.805,66.9,0.612,-0.20533333333333337,0.811,155
2011,8.94,0.837,40.808,0.607,-0.067,0.917,135
2011,8.474,0.751,62.054,0.522,-0.127,0.75,112
2017,10.211,0.811,66.9,0.839,-0.16,0.926,120
2020,10.648,0.808,74.2,0.711,-0.106,0.665,131
2010,9.906,0.795,64.4,0.515,-0.187,0.811,146
2006,6.888,0.677,46.36,0.75,0.076,0.755,106
2013,11.001,0.864,66.46,0.936,0.07725000000000001,0.3715,150
2006,10.924,0.965,68.06,0.911,0.18090909090909094,0.6,152
2019,10.666,0.939,73.4,0.912,0.157,0.234,104
2017,10.121,0.914,64.0,0.745,-0.035,0.755,73
2020,10.76,0.937,74.2,0.905,0.21,0.491,6
2020,8.871,0.553,66.5,0.819,-0.229,0.803,98
2005,10.703,0.928,71.9,0.802,-0.012181818181818183,0.944,68
2019,9.541571428571428,0.888,66.7,0.626,-0.20533333333333337,0.839,155
2019,7.849,0.655,55.5,0.691,0.097,0.756,55
2011,10.814,0.921,71.98,0.941,0.161,0.269,136
2011,9.182,0.705,65.36,0.465,-0.225,0.875,5
2006,9.489,0.918,61.1,0.707,-0.246,0.708,11
2011,9.061,0.948,60.5,0.7,0.151,0.931,96
2010,8.329,0.885,61.1,0.72,-0.072,0.926,77
2016,9.353,0.885,64.0,0.503,0.011,0.891,149
2015,10.608,0.909,73.0,0.575,-0.064,0.913,68
2011,10.875,0.938,71.52,0.925,0.336,0.359,103
2013,9.239,0.675,60.48,0.474,-0.141,0.913,42
2014,8.716,0.792,67.14,0.8872499999999999,0.0,0.7857272727272728,156
2011,9.179,0.787,67.76,0.824,-0.186,0.755,29
2018,8.136,0.621,57.9,0.699,-0.092,0.738,32
2018,11.645,0.902,72.6,0.884,-0.022,0.385,85
2011,8.143,0.846,56.06,0.709,0.022,0.923,74
2020,10.563,0.89,74.0,0.718,-0.15,0.844,68
2021,9.622,0.827,62.3,0.771,-0.05966666666666667,0.667,83
2014,9.582,0.891,64.68,0.905,-0.02,0.76,40
2014,9.464,0.881,54.34,0.794,-0.117,0.82,130
2017,10.339,0.913,68.6,0.714,-0.055,0.92,128
2012,7.926,0.711,57.02,0.668,-0.036,0.852,124
2009,8.891,0.834,61.76,0.643,0.197,0.755,54
2018,8.059,0.504,54.3,0.713,0.002,0.747,14
2020,9.396,0.918,62.7,0.718,0.141,0.843,96
2007,10.018,0.862,66.94,0.653,-0.141,0.881,4
2011,10.127,0.894,65.76,0.631,-0.089,0.94,60
2018,10.928,0.912,73.0,0.904,0.053,0.523,7
2012,7.923,0.523,52.26,0.769,-0.111,0.806,14
2015,7.976,0.748,60.2,0.763,0.227,0.824,102
2007,9.878,0.861,58.7,0.806,-0.246,0.865,73
2018,10.26,0.818,67.2,0.845,-0.217,0.921,120
2021,11.0,0.836,76.82,0.717,0.22585714285714284,0.403,59
2013,8.506,0.741,55.46,0.603,-0.079,0.676,92
2013,9.76,0.736,67.58,0.502,-0.176,0.693,97
2007,8.218,0.712,61.897,0.365,-0.08,0.844,112
2017,10.166,0.896,63.9,0.731,-0.145,0.862,121
2019,10.356,0.886,69.7,0.883,-0.199,0.869,113
2019,9.373,0.772,62.0,0.774,-0.199,0.8282499999999999,42
2008,9.186,0.738,59.88,0.6226923076923078,-0.087,0.914,42
2010,10.087,0.909,61.0,0.613,-0.296,0.937,121
2017,10.072,0.88,69.8,0.79,-0.02,0.836,28
2019,8.545,0.763,59.3,0.899,0.561,0.682,100
2014,9.335,0.818,65.14,0.5449999999999999,-0.1663333333333333,0.7097499999999999,2
2014,10.867,0.909,71.88,0.91,0.331,0.457,103
2021,8.117,0.636,58.221,0.695,-0.10233333333333333,0.745,32
2021,10.878,0.983,73.0,0.955,0.2732,0.673,61
2007,8.307,0.79,54.44,0.867,0.478,0.58,78
2015,7.988,0.434,53.1,0.733,-0.027,0.85,14
2007,9.532,0.844,65.6,0.453,-0.165,0.905,125
2007,7.638,0.787,57.7,0.413,0.317,0.891,102
2007,6.881,0.726,47.12,0.584,-0.056,0.748,106
2014,7.961,0.856,57.94,0.692,-0.045,0.7,124
2015,9.182,0.805,63.813,0.561,0.181,0.851,75
2015,9.384,0.856,67.6,0.801,-0.114,0.666,41
2006,10.032,0.884,63.16,0.641,-0.229,0.937,79
2017,8.533,0.779,56.7,0.527,-0.153,0.777,92
2015,7.344,0.647,57.9,0.545,-0.041,0.861,86
2017,7.637,0.697,54.7,0.812,0.111,0.572,49
2010,9.022,0.816,60.4,0.7,0.448,0.954,63
2014,8.98,0.834,63.54,0.843,0.108,0.804,54
2010,9.765,0.843,65.7,0.545,-0.144,0.941,20
2007,8.204,0.569,56.14,0.729,-0.051,0.862,62
2021,7.477,0.54,55.7,0.593,0.316,0.721,57
2014,9.26,0.68,65.82,0.589,-0.232,0.783,145
2014,9.777,0.863,67.74,0.503,0.097,0.768,97
2013,9.461,0.839,53.38,0.714,-0.077,0.8,130
2018,7.417,0.65,50.8,0.716,0.095,0.856,126
2017,10.183,0.916,63.5,0.859,0.015,0.911,144
2011,8.374,0.891,61.52,0.748,-0.155,0.932,77
2019,8.136,0.772,64.6,0.79,0.167,0.712,102
2010,7.642,0.751,48.4,0.749,-0.028,0.811,90
2010,10.706,0.877,66.3,0.862,-0.001,0.715,9
2009,11.055,0.938,72.26,0.891,0.125,0.342,137
2011,10.671,0.921,72.4,0.903,-0.102,0.627,47
2015,8.872,0.606,65.0,0.713,-0.228,0.842,98
2007,6.823,0.748,45.5,0.643,0.074,0.854,99
2007,8.078,0.841,51.54,0.75,0.054,0.799,74
2011,8.548,0.691,56.3,0.882,0.459,0.587,78
2019,6.966,0.549,58.3,0.765,0.004,0.68,87
2019,10.306,0.842,67.5,0.848,-0.221,0.954,120
2009,10.41,0.919,68.9,0.896,-0.019,0.804,129
2012,7.663,0.832,53.78,0.577,0.213,0.887,141
2016,10.095,0.928,63.4,0.783,-0.036,0.702,73
2019,7.688,0.805,56.1,0.704,0.139,0.826,148
2021,8.36,0.765,62.0,0.959,0.17575,0.843,23
2012,10.549,0.905,74.16,0.753,-0.14855555555555555,0.692,71
2006,10.36,0.905,69.84,0.882,-0.179,0.88,118
2009,8.281,0.653,56.98,0.679,-0.026,0.895,62
2015,10.223,0.859,66.4,0.558,-0.198,0.908,60
2012,10.846,0.951,70.84,0.933,0.139,0.187,38
2007,7.829,0.675,56.1,0.819,0.116,0.879,23
2016,10.791,0.942,73.0,0.922,0.239,0.399,6
2017,9.561,0.908,61.8,0.72,0.066,0.888,147
2016,10.518,0.931,69.3,0.85,-0.197,0.9,37
